Estado;Cidade;Transportadora;Parça (Sim/Não)
AC;Acrelândia;FAVORITA;Não
AC;Assis Brasil;FAVORITA;Não
AC;Brasiléia;FAVORITA;Não
AC;Bujari;FAVORITA;Não
AC;Capixaba;FAVORITA;Não
AC;Cruzeiro do Sul;FAVORITA;Não
AC;Epitaciolândia;FAVORITA;Não
AC;Feijó;FAVORITA;Não
AC;Jordão;FAVORITA;Não
AC;Mâncio Lima;FAVORITA;Não
AC;Manoel Urbano;FAVORITA;Não
AC;Marechal Thaumaturgo;FAVORITA;Não
AC;Plácido de Castro;FAVORITA;Não
AC;Porto Acre;FAVORITA;Não
AC;Porto Walter;FAVORITA;Não
AC;Rio Branco;FAVORITA;Não
AC;Rodrigues Alves;FAVORITA;Não
AC;Santa Rosa do Purus;FAVORITA;Não
AC;Sena Madureira;FAVORITA;Não
AC;Senador Guiomard;FAVORITA;Não
AC;Tarauacá;FAVORITA;Não
AC;Xapuri;FAVORITA;Não
AL;Água Branca;MG - DOMINALOG;Não
AL;Pão de Açúcar;MG - DOMINALOG;Não
AL;Anadia;MG - DOMINALOG;Não
AL;Viçosa;MG - DOMINALOG;Não
AL;Palmeira dos Índios;MG - DOMINALOG;Não
AL;Arapiraca;MG - DOMINALOG;Não
AL;Atalaia;MG - DOMINALOG;Não
AL;Barra de Santo Antônio;MG - DOMINALOG;Não
AL;Barra de São Miguel;MG - DOMINALOG;Não
AL;Maragogi;MG - DOMINALOG;Não
AL;Batalha;MG - DOMINALOG;Não
AL;Belém;MG - DOMINALOG;Não
AL;Belo Monte;MG - DOMINALOG;Não
AL;Boca da Mata;MG - DOMINALOG;Não
AL;Branquinha;MG - DOMINALOG;Não
AL;Cacimbinhas;MG - DOMINALOG;Não
AL;Cajueiro;MG - DOMINALOG;Não
AL;Campestre;MG - DOMINALOG;Não
AL;Campo Alegre;MG - DOMINALOG;Não
AL;Campo Grande;MG - DOMINALOG;Não
AL;Canapi;MG - DOMINALOG;Não
