Parceiro,Mes,Faturamento Reversa,Taxa Reversa,Faturamento Devolução,Taxa Devolução,SLA_pct,Agendamento_pct,CSAT_pct,Elegivel
Safari,2026-06,"89,140.00",7.50%,"209,618.65",28.00%,84.52%,95.35%,91.29%,SIM
Saldão,2026-06,"19,304.00",10.00%,"157,647.46",29.50%,93.89%,100.00%,96.00%,SIM
Safari,2026-05,"74,368.00",7.50%,"177,366.27",28.00%,88.86%,99.39%,91.74%,SIM
Saldão,2026-05,"20,951.00",10.00%,"148,513.17",29.50%,96.82%,100.00%,91.43%,SIM
Safari,2026-04,"87,934.00",7.50%,"280,642.21",28.00%,88.31%,99.70%,86.67%,SIM
Saldão,2026-04,"22,510.00",10.00%,"194,067.35",29.50%,97.84%,99.64%,91.67%,SIM
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
