VALIDAÇÃO,Logistica Reversa Transportadora,Logistica Reversa Estado,Logistica Reversa Cidade,Abrangencia
NÃO PARÇA,MG - DOMINALOG,CE,Fortaleza,48
NÃO PARÇA,MG - DOMINALOG,RS,Santa Maria,48
NÃO PARÇA,CONECTA CARGO,SP,Ribeirao Preto,47
NÃO PARÇA,MG - DOMINALOG,PB,Joao Pessoa,38
NÃO PARÇA,GRAVATAI - BULK,RS,Caxias do Sul,37
NÃO PARÇA,CONECTA CARGO,SP,Braganca Paulista,35
NÃO PARÇA,MG - DOMINALOG,MA,Sao Luis,34
NÃO PARÇA,FAVORITA,MS,Campo Grande,34
NÃO PARÇA,CONECTA CARGO,SP,Pindamonhangaba,30
NÃO PARÇA,CONECTA CARGO,SC,Blumenau,29
NÃO PARÇA,RIO - BULKYLOG,RJ,Angra dos Reis,28
NÃO PARÇA,CONECTA CARGO,SP,Cubatao,28
NÃO PARÇA,CONECTA CARGO,MG,Juiz de Fora,26
NÃO PARÇA,CONECTA CARGO,SC,Brusque,26
NÃO PARÇA,MG - DOMINALOG,RN,Natal,26
NÃO PARÇA,MG - DOMINALOG,AL,Maceio,26
NÃO PARÇA,CONECTA CARGO,SP,Bauru,24
NÃO PARÇA,MG - DOMINALOG,RS,Pelotas,23
NÃO PARÇA,CONECTA CARGO,SP,Sao Sebastiao,23
NÃO PARÇA,CONECTA CARGO,SP,Franca,22
NÃO PARÇA,CONECTA CARGO,SP,Guaratingueta,22
NÃO PARÇA,FAVORITA,MT,Cuiaba,22
NÃO PARÇA,CONECTA CARGO,SP,Sao Jose do Rio Preto,22
NÃO PARÇA,CONECTA CARGO,SP,Itapetininga,21
NÃO PARÇA,MG - DOMINALOG,RS,Passo Fundo,21
NÃO PARÇA,CONECTA CARGO,SP,Sao Carlos,21
NÃO PARÇA,CONECTA CARGO,SP,Ubatuba,20
NÃO PARÇA,CONECTA CARGO,SP,Fernandopolis,20
NÃO PARÇA,CONECTA CARGO,SP,Caraguatatuba,20
NÃO PARÇA,CONECTA CARGO,SC,Criciuma,20
NÃO PARÇA,CONECTA CARGO,SP,Aracatuba,20
NÃO PARÇA,MG - DOMINALOG,BA,Itabuna,18
NÃO PARÇA,CONECTA CARGO,MG,Governador Valadares,18
NÃO PARÇA,CONECTA CARGO,SC,Chapeco,18
NÃO PARÇA,CONECTA CARGO,SP,Cotia,17
